Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Atina Technology Pvt. Ltd.","4.7","6","Computer support and services","2nd Floor, Madhav Tower, Plot no. 3A, Central Ave, Chapru Nagar, Sq, Nagpur, Maharashtra 440008","http://atinatechnology.in/","094046 11166","https://www.google.com/maps/place/Atina+Technology+Pvt.+Ltd./data=!4m7!3m6!1s0x397c43dbeee030e9:0x6e4cb42e8fc0819f!8m2!3d21.1482924!4d79.125315!16s%2Fg%2F11gcm_mm_v!19sChIJ6TDg7ttDfDkRn4HAjy60TG4?authuser=0&hl=en&rclk=1"
"ProCohat Technologies Pvt. Ltd.","4.3","29","Software company","46, near Arjuna Celebrations, Vyankatesh Nagar, Khamla, Nagpur, Maharashtra 440025","https://procohat.com/","092843 84585","https://www.google.com/maps/place/ProCohat+Technologies+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4bf1d44b971bb:0xaf3f5fb1ec5c7ea4!8m2!3d21.1107721!4d79.0628383!16s%2Fg%2F11f0whd9qm!19sChIJu3G5RB2_1DsRpH5c7LFfP68?authuser=0&hl=en&rclk=1"
"Tsecond Generation Technology Pvt. Ltd.","4.6","17","Software company","36, 15, Khamla Rd, Nargundkar Layout, Surendra Nagar, Vivekanand Nagar, Nagpur, Maharashtra 440010","http://tsecond.in/","","https://www.google.com/maps/place/Tsecond+Generation+Technology+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4c067994ae431:0x8ac020fe474d58f7!8m2!3d21.1178852!4d79.0687948!16s%2Fg%2F11c3_8b77b!19sChIJMeRKmWfA1DsR91hNR_4gwIo?authuser=0&hl=en&rclk=1"
"Inforadient Technologies","4.9","41","Software company","Balaji Arcade, near Hudkeshwar Police Station, Santoshi Nagar, Sanmarga Nagar, Nagpur, Maharashtra 440027","https://inforadient.com/","","https://www.google.com/maps/place/Inforadient+Technologies/data=!4m7!3m6!1s0x3bd4bfc116f1562f:0xf2c6317f8d88eec4!8m2!3d21.1013687!4d79.1166958!16s%2Fg%2F11rwqtxptg!19sChIJL1bxFsG_1DsRxO6IjX8xxvI?authuser=0&hl=en&rclk=1"
"Lakshnik Technologies","","","Software company","Sakkardara Rd, Azamshah Layout, Nagpur, Maharashtra 440018","http://www.lakshnik.in/","090751 64567","https://www.google.com/maps/place/Lakshnik+Technologies/data=!4m7!3m6!1s0x3bd4c77c89039f93:0x173784947ceea85d!8m2!3d21.1320591!4d79.1159785!16s%2Fg%2F11sx__j66l!19sChIJk58DiXzH1DsRXajufJSENxc?authuser=0&hl=en&rclk=1"
"R.R Technology","5.0","2","Computer repair service","Plot no 53, hiwri lay out,near kdm collage,old bhamdra road, 08, Old bhandra road, Hiwari Layout, Nagpur, Maharashtra 440008","","084591 55387","https://www.google.com/maps/place/R.R+Technology/data=!4m7!3m6!1s0x3bd4c7bd139a915d:0x647f243fabebba65!8m2!3d21.1443698!4d79.1329612!16s%2Fg%2F11s1y0fmr1!19sChIJXZGaE73H1DsRZbrrqz8kf2Q?authuser=0&hl=en&rclk=1"
"JANKI'S Technology","5.0","3","Computer store","GATE NO.2 B54/301rd Floor, PMAY BUILDING, SYMBOISIS INTERNATIONAL COLLEGE WATHODA, Nagpur, Maharashtra 440008","http://www.jankistechnology.com/","097676 23762","https://www.google.com/maps/place/JANKI%27S+Technology/data=!4m7!3m6!1s0x3bd4b942b7fc89ed:0x6067a811229bdf92!8m2!3d21.122682!4d79.1650514!16s%2Fg%2F11y1nr_h2z!19sChIJ7Yn8t0K51DsRkt-bIhGoZ2A?authuser=0&hl=en&rclk=1"
"Piexxi Technology LLP","3.8","6","Software company","Flat No. 401, Venu Enclave, Tata Square, Manewada - Besa Rd, Nagpur, Maharashtra 440034","https://www.piexxi.in/","086000 10310","https://www.google.com/maps/place/Piexxi+Technology+LLP/data=!4m7!3m6!1s0x3bd4b8ac4e83b0c7:0x41102283d68a2d49!8m2!3d21.1002898!4d79.1017614!16s%2Fg%2F11c6m3lqng!19sChIJx7CDTqy41DsRSS2K1oMiEEE?authuser=0&hl=en&rclk=1"
"Argonne Technologies","","","Software company","101 Reshimbag Layout, Reshim Bagh, Nagpur, Maharashtra 440024","http://argonnetek.com/","086528 01740","https://www.google.com/maps/place/Argonne+Technologies/data=!4m7!3m6!1s0x3bd4c752f1a9e299:0x9370cc1341272a9!8m2!3d21.13282!4d79.111984!16s%2Fg%2F11rjssj_w2!19sChIJmeKp8VLH1DsRqXISNMEMNwk?authuser=0&hl=en&rclk=1"
"Brillect Tech Solutions Pvt. Ltd.","4.9","15","Software company","2nd floor, 57-A, Hindustan Colony, Navjeevan Colony, Gajanan Nagar, Nagpur, Maharashtra 440015","http://brillect.in/","077589 85363","https://www.google.com/maps/place/Brillect+Tech+Solutions+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4bf875e40d439:0xbb6e66a17b093358!8m2!3d21.1138269!4d79.073531!16s%2Fg%2F11n017mj_m!19sChIJOdRAXoe_1DsRWDMJe6Fmbrs?authuser=0&hl=en&rclk=1"
"Phenix Technologies","4.3","3","Software company","Plot No. 203, 1St Floor, near Sakkardara Telephone Exchange, behind Shailesh Kirana, Dattatray Nagar, Nagpur, Maharashtra 440024","","098224 71357","https://www.google.com/maps/place/Phenix+Technologies/data=!4m7!3m6!1s0x3bd4c75990d352a5:0x64ff8b302c840e3!8m2!3d21.1171766!4d79.1119147!16s%2Fg%2F1q66sxsvg!19sChIJpVLTkFnH1DsR40DIArP4TwY?authuser=0&hl=en&rclk=1"
"Webnet Computer Institute","4.9","61","Software Training Institute","Manewada Ring Road, opposite Keshav Hospital, opposite Chirag Marbles, Lavkush Nagar, Ambika Nagar, Manewada, Nagpur, Maharashtra 440024","http://www.webnet.webnetis.com/","084213 41253","https://www.google.com/maps/place/Webnet+Computer+Institute/data=!4m7!3m6!1s0x3bd4bf4c0d9e425f:0xc9fa993293aaf12!8m2!3d21.1055853!4d79.1052758!16s%2Fg%2F1jkx_yf16!19sChIJX0KeDUy_1DsREq86KZOpnww?authuser=0&hl=en&rclk=1"
"Atina technology","2.0","4","Software company","Second floor, Madhav Tower, plot no 3A, Ca Road, Chapru Nagar, Square, Nagpur, Maharashtra 440008","http://atinatechnology.in/","094046 11166","https://www.google.com/maps/place/Atina+technology/data=!4m7!3m6!1s0x3bd4c779f0105daf:0x24320bf8ccd32dcd!8m2!3d21.1481943!4d79.125529!16s%2Fg%2F11rn7p05rs!19sChIJr10Q8HnH1DsRzS3TzPgLMiQ?authuser=0&hl=en&rclk=1"
"PSK Technologies Pvt. Ltd.","4.6","430","Software company","Fortune Mall lower ground floor, Buty Rd, near Maharashtra bank, near metro station, Sitabuldi, Nagpur, Maharashtra 440012","https://www.pskitservices.com/","099752 88300","https://www.google.com/maps/place/PSK+Technologies+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4c11d142e6ac9:0xbb23c4288c53121c!8m2!3d21.1407041!4d79.0815594!16s%2Fg%2F11b5wj72bk!19sChIJyWouFB3B1DsRHBJTjCjEI7s?authuser=0&hl=en&rclk=1"
"Ocean Software Technologies","4.6","55","Software company","SH. No. A-002, Plot No. 14, Shrikrishna Nagar, Shivaji Park, Nagpur, Maharashtra 440009","http://www.oceansofttech.net/","094236 85852","https://www.google.com/maps/place/Ocean+Software+Technologies/data=!4m7!3m6!1s0x3bd4b8a174000003:0xa891933da8584330!8m2!3d21.132276!4d79.1306492!16s%2Fg%2F11c1vndt1q!19sChIJAwAAdKG41DsRMENYqD2Tkag?authuser=0&hl=en&rclk=1"
"Elevastra Tech","","","Software company","41, Khamla Rd, opposite Ratnabodhi Vihar, Sawarkar Nagar, Vivekanand Nagar, Nagpur, Maharashtra 440015","","","https://www.google.com/maps/place/Elevastra+Tech/data=!4m7!3m6!1s0x3bd4bfc422f69521:0xf31c31f1f62b257d!8m2!3d21.1144239!4d79.0687208!16s%2Fg%2F11l77vwqs1!19sChIJIZX2IsS_1DsRfSUr9vExHPM?authuser=0&hl=en&rclk=1"
"Binary Code Technologies","4.9","65","Software company","IT Park, Gayatri Nagar Trimurti Nagar, Mankapur Ring Rd, Nagpur, Maharashtra 440022","http://www.binarycodetechnologies.com/","070307 72573","https://www.google.com/maps/place/Binary+Code+Technologies/data=!4m7!3m6!1s0x3bd4bf03d200a0b9:0x6f7041800baaf0a4!8m2!3d21.111922!4d79.0662744!16s%2Fg%2F11rggp35rq!19sChIJuaAA0gO_1DsRpPCqC4BBcG8?authuser=0&hl=en&rclk=1"
"Widesoftech PVT. LTD.","4.8","215","Software company","8A, Hanuman Nagar, Medical Chowk, near Bata showroom, Krida Chowk, road, Nagpur, Maharashtra 440024","http://www.widesoftech.com/","093733 06416","https://www.google.com/maps/place/Widesoftech+PVT.+LTD./data=!4m7!3m6!1s0x3bd4bff0f6025935:0x8b80daeacfbe1f64!8m2!3d21.1307579!4d79.0984486!16s%2Fg%2F11ryh08v9_!19sChIJNVkC9vC_1DsRZB--z-ragIs?authuser=0&hl=en&rclk=1"
"Mirai Tech","","","Software company","150, Jai-Bhim Society, Chandramani Nagar, Rameshwari, Nagpur, Maharashtra 440027","http://mirai-hitech.com/","094218 06012","https://www.google.com/maps/place/Mirai+Tech/data=!4m7!3m6!1s0x3bd4bf5834000001:0xd1e1e5fc4fc8b79a!8m2!3d21.1195288!4d79.0973371!16s%2Fg%2F11rysqj9_l!19sChIJAQAANFi_1DsRmrfIT_zl4dE?authuser=0&hl=en&rclk=1"
"Hustle Tech Systems India","5.0","9","Software company","near NMC Office, Om Nagar, Nandanvan, Nagpur, Maharashtra 440009","","","https://www.google.com/maps/place/Hustle+Tech+Systems+India/data=!4m7!3m6!1s0x3bd4c7a7a0c0f68d:0xf2e0cb8b604fce0b!8m2!3d21.1273236!4d79.1191281!16s%2Fg%2F11grpqx11t!19sChIJjfbAoKfH1DsRC85PYIvL4PI?authuser=0&hl=en&rclk=1"
"Jenith Tech Media Pvt Ltd","3.7","3","Software company","44P9+CWC, New Nandanvan Layout, Nandanvan, Nagpur, Maharashtra 440024","","098600 84828","https://www.google.com/maps/place/Jenith+Tech+Media+Pvt+Ltd/data=!4m7!3m6!1s0x3bd4c74fe886ed61:0x9dc45004be715a1a!8m2!3d21.1360569!4d79.1197636!16s%2Fg%2F11b6rw41sd!19sChIJYe2G6E_H1DsRGlpxvgRQxJ0?authuser=0&hl=en&rclk=1"
"PROBUZ TECHNOLOGIES PVT LTD","4.4","110","Software company","205, Shilpa Society, Manish Nagar, Somalwada, Nagpur, Maharashtra 440015","https://www.probuztech.in/","078750 06677","https://www.google.com/maps/place/PROBUZ+TECHNOLOGIES+PVT+LTD/data=!4m7!3m6!1s0x3bd4bf12e771c019:0xe5884397b38b822e!8m2!3d21.0960494!4d79.0780867!16s%2Fg%2F1pxq7z6d9!19sChIJGcBx5xK_1DsRLoKLs5dDiOU?authuser=0&hl=en&rclk=1"
"Tech Rats Technologies","","","Website designer","Saikrupa Apartment, Plot # 25, Central Excise Colony, New Sneh Nagar, Nagpur, Maharashtra 440015","","083908 68888","https://www.google.com/maps/place/Tech+Rats+Technologies/data=!4m7!3m6!1s0x3bd4bfea10bce0c7:0xb2957cb1ab7cc9d!8m2!3d21.1107987!4d79.0689683!16s%2Fg%2F11g4drbv51!19sChIJx-C8EOq_1DsRncy3GstXKQs?authuser=0&hl=en&rclk=1"
